Role: **Principal co-architect specializing in distributed systems, metadata catalogs, and high-integrity schema registries.**
Core evaluation focus: **I am evaluating whether the Application Builder forms a deterministic, immutable, tenant-safe, idempotent, observable, and scalable control/data plane across validation, compilation, CAS persistence, BCR publication, and asynchronous execution.**

| Qualified File Name                                                                                                                                       | Identified Gap                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Architectural Fix / Design                                                                                                                                                                                                                                                                                                                                          | Severity     |
| `src/meta_application_builder/orchestration/state_engine/dual_lock_fencing.py`                                                                            | Fence validation accepts a worker if **either** generation/version is not lower. The condition rejects only when `lease_generation < recorded` **or** `version_id < recorded`, meaning a worker with a stale lease but newer version—or stale version but newer lease—can pass.                                                                                                                                                                                                     | Define the fence as an ordered tuple/version contract. Normally require both dimensions to match the current lease/version, or use a monotonically increasing single fencing token issued by durable storage.                                                                                                                                                       | **Critical** |
| `src/meta_application_builder/orchestration/worker/pipeline_worker.py`                                                                                    | The worker only emits heartbeat logs; no durable lease acquisition, renewal, expiration, or fencing is implemented in the shown worker. A dead/stalled worker therefore has no demonstrated mechanism to prevent stale execution.                                                                                                                                                                                                                                                   | Implement durable leases with expiration, heartbeat renewal, fencing tokens, and worker ownership checks at every side-effect boundary, especially CAS publication and BCR mutation.                                                                                                                                                                                | **Critical** |
| `src/meta_application_builder/persistence/audit/service.py`                                                                                               | Audit append is carefully serialized with a parent-row lock, but the design relies on the surrounding transaction to preserve the lock through insertion/commit. There is also no explicit idempotency/event identity in `append_event`; retrying an event after an ambiguous transaction outcome can duplicate semantic audit events.                                                                                                                                              | Add immutable `event_id`/operation ID with a unique constraint, and make audit append idempotent. Keep sequence/hash chaining transactional with the job mutation it describes.                                                                                                                                                                                     | **High**     |
| `src/meta_application_builder/orchestration/outbox_queue/outbox_publisher.py`                                                                             | The outbox publisher is effectively a stub: it does not fetch, claim, publish, acknowledge, retry, or mark events. Thus the architecture does not currently demonstrate reliable asynchronous delivery.                                                                                                                                                                                                                                                                             | Implement transactional outbox claiming with leases, `attempt_count`, `next_attempt_at`, broker publish confirmation, idempotent event IDs, and durable completion state. Use `SKIP LOCKED`/partitioned workers where appropriate.                                                                                                                                  | **Critical** |
| `src/meta_application_builder/orchestration/outbox_queue/queue_envelope.py`                                                                               | `trace_headers` are modeled, which is good, but there is no demonstrated extraction/injection of W3C trace context into those headers. Merely carrying a dictionary does not guarantee distributed trace continuity.                                                                                                                                                                                                                                                                | Standardize on W3C `traceparent`/`tracestate`; inject at publish and extract at consumer boundaries. Also propagate tenant, job, saga, operation, and causation IDs as structured context.                                                                                                                                                                          | **High**     |
| `src/meta_application_builder/experience/telemetry/otel_config.py`                                                                                        | OpenTelemetry providers are initialized, but no exporter is configured other than an optional console exporter, and no application spans, context propagation, meters, or instrumentation are shown. This gives initialization rather than meaningful distributed observability.                                                                                                                                                                                                    | Configure production OTLP exporters and explicit spans around validation, dependency resolution, compilation, CAS, BCR publication, OPA, outbox, and reconciliation. Add counters/histograms for latency, failures, queue depth, retries, and publication outcomes.                                                                                                 | **High**     |
| `src/meta_application_builder/persistence/event_chain/crypt_chain.py`                                                                                     | The cryptographic audit chain protects sequence/hash integrity, but the hash formula shown does not include `event_type`, tenant, job identity, actor, or operation identity—only previous hash, sequence, and payload. If these are not guaranteed inside payload, important audit dimensions are outside the tamper-evident commitment.                                                                                                                                           | Canonically hash an explicit event envelope containing tenant, job, event ID, event type, actor/principal, timestamp, sequence, previous hash, and payload. Add periodic signed/checkpointed roots if audit integrity must survive database compromise.                                                                                                             | **Medium**   |
| `src/meta_application_builder/foundation/security_context/claims.py`                                                                                      | The claims model validates structure and temporal values but does not itself cryptographically verify JWT signatures, issuer, audience, algorithm, or key ID. A claims schema is not an authentication mechanism.                                                                                                                                                                                                                                                                   | Perform JWT verification at the trust boundary using a pinned issuer/audience, approved algorithms, JWKS/key rotation, clock-skew policy, and optional JTI replay protection. Only construct `SecurityClaims` after cryptographic verification.                                                                                                                     | **Critical** |
| `src/meta_application_builder/foundation/security_context/identity.py`                                                                                    | `ContextVar` isolation is appropriate for request/task-local identity, but it does not automatically establish authorization for every downstream resource operation or guarantee context propagation across external queues/processes.                                                                                                                                                                                                                                             | Make authorization explicit at service boundaries. Serialize verified principal/tenant context into queue envelopes and re-establish it on consumers. Never treat presence of a context variable as proof of authorization.                                                                                                                                         | **High**     |
| `src/meta_application_builder/experience/api_gateway/artifact_endpoint.py`                                                                                | Artifact retrieval accepts only a `job_id` and returns a CAS pointer without demonstrated tenant ownership or permission checks. This is a direct cross-tenant/object authorization risk if connected to real persistence.                                                                                                                                                                                                                                                          | Resolve the job through tenant-scoped persistence/RLS and explicitly authorize artifact read access. Return artifacts only after verifying principal permissions and job ownership.                                                                                                                                                                                 | **Critical** |
| `src/meta_application_builder/experience/api_gateway/status_endpoint.py`                                                                                  | Status and cancellation endpoints contain no demonstrated authentication/authorization dependency. The security context exists elsewhere, but the API layer does not show it being enforced.                                                                                                                                                                                                                                                                                        | Add mandatory authenticated principal dependencies and policy checks to every control-plane endpoint. Authorization should include tenant + resource + operation, not merely tenant identity.                                                                                                                                                                       | **Critical** |
| `src/meta_application_builder/compiler_engine/brain_adapter/ir_sanitizer.py`                                                                              | IR sanitization blocks a handful of Python introspection names but allows arbitrary `type_hint` strings and arbitrary defaults. Those values are subsequently interpolated into generated Python code. Blocking `__globals__`, `__code__`, etc. is not a sufficient code-generation boundary.                                                                                                                                                                                       | Replace free-form type strings with an allowlisted typed AST/schema (`str`, `int`, `float`, approved domain types, etc.). Represent defaults as typed data rather than Python expressions. Reject arbitrary identifiers, attributes, calls, subscripting, and import-capable constructs.                                                                            | **Critical** |
| `src/meta_application_builder/compiler_engine/meta_compiler/pydantic_emitter.py`                                                                          | `field.type_hint` is directly interpolated into Python source. `field.default!r` reduces some injection risk for values but does not make the type expression safe. A malicious type hint can inject arbitrary Python syntax/code into the emitted module.                                                                                                                                                                                                                          | Never emit source from untrusted strings. Build Python AST nodes from an allowlisted internal type representation, run an AST policy validator, and compile inside an isolated sandbox with no network/host credentials.                                                                                                                                            | **Critical** |
| `src/meta_application_builder/compiler_engine/meta_compiler/sqlalchemy_emitter.py`                                                                        | `field.type_hint` is directly interpolated into generated SQLAlchemy/Python source. `table_name` is also inserted into generated code, although `repr()` provides some quoting protection.                                                                                                                                                                                                                                                                                          | Use structured AST/code generation with allowlisted SQLAlchemy types and identifiers. Validate table/model identifiers independently and never permit arbitrary Python expressions in metadata.                                                                                                                                                                     | **Critical** |
| `src/meta_application_builder/compiler_engine/meta_compiler/ast_builder.py`                                                                               | `create_import()` accepts arbitrary `module_name` and names and emits an `ImportFrom`. If those values can originate from user-controlled metadata, the generated program can import arbitrary modules.                                                                                                                                                                                                                                                                             | Maintain an explicit import allowlist and construct AST only from trusted compiler-owned symbols. Reject dynamic module paths entirely.                                                                                                                                                                                                                             | **Critical** |
| `src/meta_application_builder/compiler_engine/verification/ruff_mypy_runner.py`                                                                           | Ruff and Mypy validate generated source but do not provide a security sandbox. Static checking cannot prevent malicious generated Python from executing dangerous imports, filesystem access, subprocesses, resource exhaustion, or network calls.                                                                                                                                                                                                                                  | Treat generated code as hostile. Run it only in an isolated container/VM/WASM sandbox with read-only filesystem, dropped capabilities, no credentials, restricted network, CPU/memory/time limits, and a seccomp/AppArmor-style boundary.                                                                                                                           | **Critical** |
| `src/meta_application_builder/compiler_engine/verification/temporal_validator.py`                                                                         | Temporal validation only detects direct imports of `time`, `random`, `uuid` and direct calls named `time`, `randint`, `uuid4`. It misses aliases, attribute access, imported wrappers, environment access, subprocesses, network calls, filesystem state, and other nondeterminism.                                                                                                                                                                                                 | Define determinism as a capability policy rather than a blacklist. Analyze imports/AST capabilities comprehensively and enforce runtime sandbox restrictions. Prefer deterministic compiler IR over arbitrary executable workflow code.                                                                                                                             | **High**     |
| `src/meta_application_builder/spec_governance/schemas/det_schema.py` / syntax validation                                                                  | Raw payload size is capped, which is useful, but parsing JSON/YAML still materializes the entire document before schema validation. Nested structure, number of fields, string lengths, map cardinality, and total decoded object size require independent limits.                                                                                                                                                                                                                  | Enforce limits at multiple levels: raw bytes, decompressed bytes if applicable, nesting depth, object/array cardinality, string length, total node count, and decoded memory budget. Reject pathological payloads before expensive graph/compiler stages.                                                                                                           | **High**     |
| `src/meta_application_builder/spec_governance/phase_b_topology/networkx_dag.py`                                                                           | `nx.simple_cycles()` can become extremely expensive on large graphs, and the implementation logs the full detected cycle/order. This creates both computational and logging amplification risks for adversarial dependency graphs.                                                                                                                                                                                                                                                  | Bound graph node/edge counts and cycle-report size. Use bounded cycle detection/SCC analysis and return a limited diagnostic representation. Do not log entire untrusted graphs.                                                                                                                                                                                    | **High**     |
| `src/meta_application_builder/bcr_cas/bulk_api/resolve_batch.py`                                                                                          | Dependency traversal uses `queue.pop(0)`, producing avoidable O(n²) queue behavior for large graphs. NetworkX itself also creates a full in-memory graph and result set.                                                                                                                                                                                                                                                                                                            | Use `collections.deque` and impose graph-size limits. For persistent registry resolution, use database-side recursive queries/closure tables or bounded batched retrieval rather than loading arbitrarily large dependency graphs into Python.                                                                                                                      | **Medium**   |
| `src/meta_application_builder/persistence/lineage/closure_manager.py`                                                                                     | Closure tables are a good scalability strategy, but the shown rebuild begins constructing entries in memory and the evidence does not establish atomic replacement/versioning of the closure. Concurrent rebuilds can expose mixed generations if not transactionally isolated.                                                                                                                                                                                                     | Version closure snapshots and rebuild transactionally. Use staging generation + atomic swap, or serialize per-root publication. Tie closure rows to the immutable registry revision that produced them.                                                                                                                                                             | **High**     |
| `src/meta_application_builder/bcr_cas/cas_service/cas_storage.py`                                                                                         | CAS writes are content-addressed and use `os.replace`, which is a strong local atomic-write primitive, but the `exists()` check is only an optimization and there is no demonstrated verification after write, durability/fsync policy, garbage collection, or distributed/object-store semantics.                                                                                                                                                                                  | Keep digest-addressed immutable objects, but verify the final object digest, use durable storage semantics, and separate object lifecycle from registry references. Add reference counting/mark-and-sweep GC based on immutable manifests.                                                                                                                          | **Medium**   |
| `src/meta_application_builder/bcr_cas/cas_service/digest_verifier.py`                                                                                     | Digest verification is streaming, which is appropriate, but expected digest format is not independently validated before comparison. More importantly, CAS integrity only covers bytes; it does not bind the artifact to tenant, blueprint revision, compiler version, or dependency manifest.                                                                                                                                                                                      | Validate digest format and create a signed/immutable artifact manifest binding digest to blueprint revision, compiler/toolchain version, dependency digests, policy version, and provenance.                                                                                                                                                                        | **Medium**   |
| `src/meta_application_builder/experience/cli_tool/direct_mode.py`                                                                                         | Direct mode checks that the input file exists and creates an output directory but does not actually parse, validate, compile, verify, or persist the specification. It therefore bypasses the control/data-plane pipeline represented elsewhere.                                                                                                                                                                                                                                    | Make direct mode invoke the same application-service pipeline as remote mode, differing only in transport. Establish one canonical orchestration path to prevent semantic drift between local and remote builds.                                                                                                                                                    | **Critical** |
| `src/meta_application_builder/experience/cli_tool/remote_mode.py`                                                                                         | Remote mode constructs an authenticated request and carries an idempotency key, but the client does not show retry policy, timeout classification, response replay semantics, or correlation/trace propagation. An ambiguous network failure can cause client retries against a server whose original request may have succeeded.                                                                                                                                                   | Add bounded retry with exponential jitter for safe transport failures, preserve the same idempotency key, propagate trace context, and distinguish definitive HTTP rejection from ambiguous commit outcomes.                                                                                                                                                        | **High**     |
| `src/meta_application_builder/experience/api_gateway/validate_endpoint.py`                                                                                | `/validate` performs only an empty-payload check despite the existence of a much richer Phase A syntax validator and Phase B topology engine. The public API therefore does not stitch into the actual governance pipeline.                                                                                                                                                                                                                                                         | Route API validation through the canonical governance application service: syntax → topology → semantic/immutability checks → policy → compatibility. Return a stable validation report with validator versions.                                                                                                                                                    | **High**     |
| `src/meta_application_builder/experience/api_gateway/artifact_endpoint.py`                                                                                | Artifact retrieval returns a hard-coded CAS digest and builder metadata rather than resolving the durable build/job/manifest relationship. This breaks provenance continuity between build, CAS, and registry.                                                                                                                                                                                                                                                                      | Make `BuildJob → immutable manifest → CAS object` a durable chain. Artifact responses should contain revision/digest/provenance metadata sourced from persistence, not endpoint constants.                                                                                                                                                                          | **Critical** |
| `src/meta_application_builder/experience/api_gateway/status_endpoint.py`                                                                                  | Build status is hard-coded to `COMPILING_IR` and a static timestamp. Consequently the state machine, worker, audit log, and API status surfaces are not integrated into one authoritative state source.                                                                                                                                                                                                                                                                             | Establish the database build-job record as the authoritative state machine. API reads durable state and audit-derived timestamps; workers mutate state only through the transition service.                                                                                                                                                                         | **Critical** |
| `src/meta_application_builder/orchestration/outbox_queue/outbox_publisher.py` / `recovery/forward_reconciliation.py`                                      | Both asynchronous reliability components are skeletal: the publisher returns zero without processing events, and reconciliation returns zero without inspecting incomplete bindings. The architecture has named recovery mechanisms but not demonstrated recovery behavior.                                                                                                                                                                                                         | Define explicit failure-state ownership and reconciliation invariants. Reconciliation should compare desired state (job/manifest/BCR) against observed side effects and repair only through idempotent operations. Add metrics for unreconciled age/count.                                                                                                          | **Critical** |
| `src/meta_application_builder/persistence/models/audit.py`                                                                                                | Audit events have a unique `(job_id, sequence_number)` constraint, which is good for sequence races, but the model shown does not expose a tenant column on the event itself; tenant isolation therefore depends on the parent relationship/RLS design.                                                                                                                                                                                                                             | Put tenant identity directly on high-value multi-tenant event records and enforce composite tenant/job foreign-key relationships where practical. Apply RLS to audit tables themselves rather than relying only on application joins.                                                                                                                               | **High**     |
| `src/meta_application_builder/persistence/db_session/connection.py`                                                                                       | Tenant RLS setup is strong conceptually, but the shown RLS policy is only explicitly installed for `specifications_registry`; the evidence does not establish equivalent RLS policies across jobs, audit events, idempotency records, lineage, and other tenant-owned tables.                                                                                                                                                                                                       | Apply RLS systematically to every tenant-owned table and use database-enforced tenant-aware foreign keys/constraints. Add negative cross-tenant integration tests for every repository/service.                                                                                                                                                                     | **Critical** |
| `src/meta_application_builder/foundation/governance_rego/opa_evaluator.py` / OPA client                                                                   | Policy evaluation correctly obtains tenant context and distinguishes timeout/unavailable/deny outcomes, but policy input shown is primarily tenant + specification. Resource/action/principal context must also be bound into policy decisions to avoid overly coarse authorization.                                                                                                                                                                                                | Define an authorization decision tuple: principal, tenant, action, resource, resource revision, environment, and policy version. Fail closed on missing context and record the exact policy decision/version in provenance.                                                                                                                                         | **High**     |
| `src/meta_application_builder/compiler_engine/polymorph_adapter/manifest_merger.py`                                                                       | Merge conflict semantics are asymmetric: the warning is specifically tied to `BASE`, while equal-priority conflicts are not generally rejected despite the existence of `ManifestMergeConflictError`. Ordering same-priority deltas can therefore silently determine output.                                                                                                                                                                                                        | Make merge deterministic and conflict-explicit. Group by target/field/priority; reject conflicting equal-priority patches unless an explicit merge operator exists. Persist the ordered input delta digest and resulting manifest digest.                                                                                                                           | **High**     |
| `src/meta_application_builder/orchestration/recovery/retry_jitter.py`                                                                                     | Retry jitter is intentionally random, while the temporal validator explicitly treats randomness as nondeterministic. If retry scheduling participates in reproducibility or audit expectations, the current helper makes execution timing nondeterministic.                                                                                                                                                                                                                         | Separate operational retry randomness from deterministic build semantics. Never include retry timing in artifact identity. For tests/audits, allow an injectable deterministic jitter source.                                                                                                                                                                       | **Low**      |
| `src/meta_application_builder/persistence/models/base.py`                                                                                                 | `updated_at` is automatically mutable through ORM updates. For registry artifacts this generic mutable metadata model conflicts with the stronger immutability expectations of published specifications if reused directly.                                                                                                                                                                                                                                                         | Separate mutable operational entities from immutable registry entities. Published registry tables should avoid generic `onupdate` semantics and use explicit append-only revision records.                                                                                                                                                                          | **High**     |
| `src/meta_application_builder/spec_governance/phase_b_topology/networkx_dag.py` and `src/meta_application_builder/persistence/lineage/closure_manager.py` | The system appears to maintain both runtime NetworkX topology and persisted transitive closure. Without a clearly defined source of truth and synchronization boundary, these can diverge, producing different dependency answers in validation versus runtime lineage.                                                                                                                                                                                                             | Define registry revision + dependency manifest as the single source of truth. NetworkX is a validation implementation; closure is a materialized read model. Both must be generated from the same immutable revision and carry that revision ID.                                                                                                                    | **High**     |
| `src/meta_application_builder/experience/*` + `spec_governance/*` + `compiler_engine/*` + `orchestration/*`                                               | The major architectural stitching gap is that the code contains the right conceptual layers—API, governance, compiler, CAS, state machine, audit, outbox, security—but several public entry points are simulations/stubs and do not actually compose these layers. The submit endpoint does not enqueue, validation endpoint does not invoke governance, status endpoint does not read state, direct mode does not build, and artifact endpoint does not resolve CAS provenance.    | Introduce a single `BuildApplicationService`/orchestrator with explicit ports: `SpecificationRepository`, `GovernanceService`, `Compiler`, `CAS`, `BCRPublisher`, `AuditService`, `Outbox`, and `PolicyEvaluator`. API, CLI, and workers should all call these application services rather than implement pipeline semantics independently.                         | **Critical** |
